estrategia,episodio,pico_avg_c,n_periodos,duracion_min,grave_real,excursion_pequena,pequena_y_breve,alarmo,idx_periodo_alarma,min_desde_cruce,temp_alarma_c,min_antes_del_pico,motivo
B_tiempo_tendencia,E13,-9.859,14,70.0,True,False,False,True,6.0,30.0,-11.75,-20.0,estable fuera de rango >=30 min
B_tiempo_tendencia,E14,-14.758,3,15.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E15,-14.643,3,15.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E16,-14.51,4,20.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E17,-14.463,5,25.0,False,True,False,False,,,,,observado sin alarma
B_tiempo_tendencia,E18,-14.302,8,40.0,False,True,False,True,6.0,30.0,-14.30208,0.0,estable fuera de rango >=30 min
B_tiempo_tendencia,E19,-14.249,8,40.0,False,True,False,True,6.0,30.0,-14.24896,0.0,estable fuera de rango >=30 min
B_tiempo_tendencia,E20,-13.969,6,30.0,False,True,False,True,3.0,15.0,-13.96875,0.0,15 min + sigue calentando
B_tiempo_tendencia,E21,-7.688,9,45.0,True,False,False,True,6.0,30.0,-12.56354,-30.0,estable fuera de rango >=30 min
B_tiempo_tendencia,E22,-13.593,6,30.0,False,True,False,True,3.0,15.0,-13.80515,5.0,15 min + sigue calentando
B_tiempo_tendencia,E23,-13.949,5,25.0,False,True,False,False,,,,,observado sin alarma
B_tiempo_tendencia,E24,-14.0,5,25.0,False,True,False,True,3.0,15.0,-14.0,0.0,15 min + sigue calentando
B_tiempo_tendencia,E25,-13.959,5,25.0,False,True,False,False,,,,,observado sin alarma
B_tiempo_tendencia,E26,-14.959,1,5.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E27,-14.805,3,15.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E28,-14.569,4,20.0,False,True,True,False,,,,,observado sin alarma
B_tiempo_tendencia,E29,-14.397,6,30.0,False,True,False,False,,,,,observado sin alarma
B_tiempo_tendencia,E30,-6.529,21,105.0,True,False,False,True,6.0,30.0,-14.125,50.0,estable fuera de rango >=30 min
B_tiempo_tendencia,E31,-12.101,14,70.0,False,False,False,True,3.0,15.0,-13.81771,45.0,15 min + sigue calentando
B_tiempo_tendencia,E32,-13.782,6,30.0,False,True,False,True,3.0,15.0,-13.91354,5.0,15 min + sigue calentando
B_tiempo_tendencia,E33,-14.826,1,5.0,False,True,True,False,,,,,observado sin alarma
