episodio,fecha,hora,min_desde_cruce,avg_c,min_c,max_c,dist_sobre_umbral_c,pendiente_2p_c_min,pendiente_linreg3_c_min,tendencia,es_pico,alarma_estrategias
E42,2026-08-27,20:08,10.0,-12.211,-12.875,-11.375,2.789,0.237,0.21,ASC,False,C_bandas_15_10_5|C_bandas_15_8_0|D_dinamica_k3_T15|D_dinamica_k3_T15_sinRec
E42,2026-08-27,20:13,15.0,-10.165,-11.375,-8.812,4.835,0.409,0.323,ASC,False,A_solo_tiempo|B_tiempo_tendencia|D_dinamica_k2_T20
E42,2026-08-27,20:18,20.0,-7.236,-8.75,-5.75,7.764,0.586,0.498,ASC,False,
E42,2026-08-27,20:23,25.0,-4.698,-5.75,-4.062,10.302,0.508,0.547,ASC,True,
E42,2026-08-27,20:28,30.0,-5.175,-5.812,-4.562,9.825,-0.095,0.206,ASC,False,
E42,2026-08-27,20:33,35.0,-7.59,-9.438,-5.875,7.41,-0.483,-0.289,DESC,False,
E42,2026-08-27,20:38,40.0,-11.297,-13.0,-9.5,3.703,-0.741,-0.612,DESC,False,
E42,2026-08-27,20:43,45.0,-14.511,-15.812,-13.062,0.489,-0.643,-0.692,DESC,False,
E43,2026-08-28,22:33,0.0,-14.648,-15.375,-13.812,0.352,0.262,0.223,ASC,False,
E43,2026-08-28,22:38,5.0,-12.76,-13.75,-11.688,2.24,0.377,0.32,ASC,False,
E43,2026-08-28,22:43,10.0,-10.602,-11.688,-9.625,4.398,0.432,0.405,ASC,False,C_bandas_15_10_5|C_bandas_15_8_0|D_dinamica_k3_T15|D_dinamica_k3_T15_sinRec
E43,2026-08-28,22:48,15.0,-8.793,-9.625,-7.812,6.207,0.362,0.397,ASC,False,A_solo_tiempo|B_tiempo_tendencia|D_dinamica_k2_T20
E43,2026-08-28,22:53,20.0,-8.097,-9.062,-7.688,6.903,0.139,0.251,ASC,True,
E43,2026-08-28,22:58,25.0,-10.673,-12.312,-9.125,4.327,-0.515,-0.188,DESC,False,
E43,2026-08-28,23:03,30.0,-13.838,-15.125,-12.375,1.162,-0.633,-0.574,DESC,False,
